"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2006"	"75 cl"	"2014-01-25"	"39.95"	"39.95"	"2"	"2"	"5"	"30"	"5"			"Carrefour Lorient"	"Grande surface"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2005"	"75 cl"	"2014-09-13"	"39.95"	"39.95"	"1"	"4"	"5"	"30"	"5"			"carrefour"	"Grande surface"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"1996"	"75 cl"	"2015-02-08"	"0.00"	"55.00"	"1"	"1"	"5"	"30"	"5"				"Non défini"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2010"	"75 cl"	"2015-02-10"	"0.00"	"50.00"	"3"	"3"	"5"	"30"	"5"			"Leclerc"	"Non défini"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2013"	"75 cl"	"2016-10-17"	"0.00"	"42.74"	"1"	"1"	"5"	"30"	"5"			"Foire aux vins leclerc"	"Grande surface"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2012"	"75 cl"	"2016-11-12"	"40.00"	"40.00"	"1"	"1"	"5"	"30"	"5"			"Super U Challans"	"Grande surface"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2008"	"75 cl"	"2017-09-30"	"60.00"	"60.00"	"2"	"2"	"5"	"30"	"5"			"Chateau"	"En direct du producteur"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"1989"	"75 cl"	"2017-10-23"	"60.00"	"60.00"	"2"	"2"	"5"	"30"	"5"			"Vins et millesimes"	"Achat sur Internet"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"1990"	"75 cl"	"2017-10-23"	"54.00"	"54.00"	"1"	"1"	"5"	"30"	"5"			"Vins et millesimes"	"Achat sur Internet"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2007"	"75 cl"	"2017-10-23"	"48.00"	"48.00"	"2"	"2"	"5"	"30"	"5"			"Vins et millesimes"	"Achat sur Internet"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2001"	"75 cl"	"2017-10-23"	"60.00"	"60.00"	"1"	"1"	"5"	"30"	"5"			"Vins et millesimes"	"Achat sur Internet"
"Château Guiraud"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2002"	"75 cl"	"2017-10-23"	"36.00"	"36.00"	"1"	"1"	"5"	"30"	"5"			"Vins et millesimes"	"Achat sur Internet"
